~start_node_labels,~start_node_property_name,~relationship_type,~end_node_labels,~end_node_property_name,count
DRUG,GLECIRASIB,INHIBITION,GENE,KRAS,1
DRUG,LORLATINIB,TARGETS,GENE,ALK,1
DRUG,OSIMERTINIB,TARGETS,GENE,EGFR,1
DRUG,SOTORASIB,TARGETS,GENE,KRAS,1
DRUG,SUNVOZERTINIB,INHIBITION,GENE,EGFR,1
DRUG,TEPOTINIB,INHIBITION,GENE,MET,1
DRUG,TEPOTINIB,TARGETS,GENE,MET,1
DRUG,TRAMETINIB,INHIBITION,GENE,MEK1,1
DRUG,TRAMETINIB,TARGETS,PROTEIN,MEK,1
DRUG,VEMURAFENIB,INHIBITION,GENE,BRAF,1
DRUG,VEMURAFENIB,TARGETS,GENE,BRAF,1
GENE,AKT,ACTIVATION,GENE,MTOR,1
GENE,AKT,STATE_CHANGE,CELL,CELL SURVIVAL AND PROLIFERATION,1
GENE,AKT1,INHIBITION,GENE,PTEN,1
GENE,AKT1,INHIBITION,GENE,TP53,1
GENE,AKT1,MUTATION,GENE,AKT1,1
GENE,AKT1,PHOSPHORYLATION,GENE,AKT1,2
GENE,AKT1,PHOSPHORYLATION,GENE,TP53,1
GENE,ALK,ACTIVATION,GENE,BRAF,1
GENE,ALK,ACTIVATION,GENE,KRAS,3
GENE,ALK,ACTIVATION,GENE,MAPK1,1
GENE,ALK,ACTIVATION,GENE,PIK3CA,4
GENE,ALK,ACTIVATION,GENE,STAT3,1
GENE,ALK,ACTIVATION,PATHWAY,MAPK,2
GENE,ALK,ACTIVATION,PATHWAY,PI3K/AKT,2
GENE,ALK,BINDING_ASSOCIATION,GENE,ALK,1
GENE,ALK,BINDING_ASSOCIATION,GENE,KRAS,1
GENE,ALK,BINDING_ASSOCIATION,PROCESS,FUSION PARTNERS,1
GENE,ALK,MUTATION,GENE,ALK,1
GENE,ALK,MUTATION,PATHWAY,MAPK,1
GENE,ALK,MUTATION,PATHWAY,PI3K/AKT,1
GENE,ALK,PHOSPHORYLATION,GENE,ALK,1
GENE,ALK,PHOSPHORYLATION,GENE,EGFR,1
GENE,ALK,PHOSPHORYLATION,GENE,PIK3CA,3
GENE,ALK,PHOSPHORYLATION,GENE,ROS1,1
GENE,AMPK,INHIBITION,GENE,MTOR,1
GENE,BRAF,ACTIVATION,GENE,KRAS,1
GENE,BRAF,ACTIVATION,GENE,MAPK1,1
GENE,BRAF,ACTIVATION,GENE,MEK,1
GENE,BRAF,ACTIVATION,GENE,PIK3CA,1
GENE,BRAF,ACTIVATION,PATHWAY,MAPK,2
GENE,BRAF,BINDING_ASSOCIATION,GENE,BRAF,1
GENE,BRAF,MUTATION,GENE,BRAF,1
GENE,BRAF,MUTATION,PATHWAY,MAPK,1
GENE,BRAF,PHOSPHORYLATION,GENE,BRAF,2
GENE,BRAF,PHOSPHORYLATION,GENE,MAP2K1/MEK1,1
GENE,BRAF,PHOSPHORYLATION,GENE,MAP2K2/MEK2,1
GENE,BRAF,PHOSPHORYLATION,GENE,MEK,3
GENE,BRAF,PHOSPHORYLATION,GENE,MEK1,1
GENE,BRAF,PHOSPHORYLATION,PROTEIN,MEK,1
GENE,CDKN2A,BINDING_ASSOCIATION,GENE,CDK4,1
GENE,CDKN2A,BINDING_ASSOCIATION,GENE,CDK6,1
GENE,CDKN2A,INHIBITION,GENE,CDK4,1
GENE,CDKN2A,INHIBITION,GENE,CDK6,1
GENE,CTNNB1,ACTIVATION,GENE,MYC,1
GENE,CTNNB1,MUTATION,GENE,CTNNB1,1
GENE,CTNNB1,REPRESSION,GENE,NOTCH1,1
GENE,EGFR,ACTIVATION,GENE,BRAF,3
GENE,EGFR,ACTIVATION,GENE,KRAS,8
GENE,EGFR,ACTIVATION,GENE,PIK3CA,6
GENE,EGFR,ACTIVATION,PATHWAY,MAPK,1
GENE,EGFR,ACTIVATION,PATHWAY,PI3K/AKT,1
GENE,EGFR,BINDING_ASSOCIATION,GENE,EGFR,3
GENE,EGFR,BINDING_ASSOCIATION,GENE,ERBB2,1
GENE,EGFR,BINDING_ASSOCIATION,GENE,HER2,1
GENE,EGFR,BINDING_ASSOCIATION,GENE,MET,1
GENE,EGFR,BINDING_ASSOCIATION,LIGAND,EGF,1
GENE,EGFR,MUTATION,GENE,EGFR,2
GENE,EGFR,MUTATION,PATHWAY,MAPK,1
GENE,EGFR,MUTATION,PATHWAY,PI3K/AKT,1
GENE,EGFR,PHOSPHORYLATION,GENE,AKT,1
GENE,EGFR,PHOSPHORYLATION,GENE,AKT1,1
GENE,EGFR,PHOSPHORYLATION,GENE,BRAF,3
GENE,EGFR,PHOSPHORYLATION,GENE,EGFR,4
GENE,EGFR,PHOSPHORYLATION,GENE,ERK,1
GENE,EGFR,PHOSPHORYLATION,GENE,KRAS,1
GENE,EGFR,PHOSPHORYLATION,GENE,MAPK1,1
GENE,EGFR,PHOSPHORYLATION,GENE,PI3K,1
GENE,EGFR,PHOSPHORYLATION,GENE,PIK3CA,4
GENE,EGFR,UBIQUITINATION,GENE,CBL,1
GENE,EGFR,UBIQUITINATION,GENE,EGFR,1
GENE,ERBB2,ACTIVATION,GENE,MAPK1,1
GENE,ERBB2,ACTIVATION,GENE,PI3K,1
GENE,ERBB2,ACTIVATION,GENE,PIK3CA,1
GENE,ERBB2,ACTIVATION,GENE,RAS,1
GENE,ERBB2,MUTATION,GENE,ERBB2,2
GENE,ERK,ACTIVATION,GENE,AP1,1
GENE,FGFR1,ACTIVATION,GENE,AKT,1
GENE,FGFR1,ACTIVATION,GENE,ERK,1
GENE,FGFR1,ACTIVATION,GENE,MAPK,1
GENE,FGFR1,ACTIVATION,GENE,PI3K,2
GENE,FGFR1,ACTIVATION,GENE,PIK3CA,1
GENE,FGFR1,MUTATION,GENE,FGFR1,1
GENE,HER2,ACTIVATION,GENE,KRAS,2
GENE,HER2,ACTIVATION,GENE,PIK3CA,3
GENE,HER2,BINDING_ASSOCIATION,GENE,EGFR,1
GENE,HER2,BINDING_ASSOCIATION,GENE,HER2,1
GENE,HER2,GLYCOSYLATION,GENE,HER2,1
GENE,HER2,PHOSPHORYLATION,GENE,AKT,1
GENE,HER2,PHOSPHORYLATION,GENE,HER2,1
GENE,HER2,PHOSPHORYLATION,GENE,KRAS,1
GENE,HER2,PHOSPHORYLATION,GENE,PI3K,1
GENE,HER2,PHOSPHORYLATION,GENE,PIK3CA,2
GENE,KRAS,ACTIVATION,GENE,BRAF,8
GENE,KRAS,ACTIVATION,GENE,NRAS,1
GENE,KRAS,ACTIVATION,GENE,PIK3CA,4
GENE,KRAS,ACTIVATION,PATHWAY,MAPK,1
GENE,KRAS,ACTIVATION,PATHWAY,PI3K/AKT,1
GENE,KRAS,BINDING_ASSOCIATION,GENE,AKT1,1
GENE,KRAS,BINDING_ASSOCIATION,GENE,BRAF,2
GENE,KRAS,BINDING_ASSOCIATION,GENE,KRAS,3
GENE,KRAS,INHIBITION,GENE,TP53,1
GENE,KRAS,MUTATION,GENE,KRAS,3
GENE,KRAS,MUTATION,PATHWAY,MAPK,1
GENE,KRAS,MUTATION,PATHWAY,PI3K/AKT,1
GENE,KRAS,PHOSPHORYLATION,GENE,BRAF,2
GENE,KRAS,PHOSPHORYLATION,GENE,KRAS,1
GENE,KRAS,PHOSPHORYLATION,GENE,PIK3CA,2
GENE,LKB1,ACTIVATION,GENE,AMPK,1
GENE,LKB1,MUTATION,GENE,LKB1,1
GENE,MAP2K1/MEK1,PHOSPHORYLATION,GENE,ERK1,1
GENE,MAP2K2/MEK2,PHOSPHORYLATION,GENE,ERK2,1
GENE,MAPK1,ACTIVATION,GENE,MYC,1
GENE,MAPK1,MUTATION,GENE,MAPK1,1
GENE,MAPK1,PHOSPHORYLATION,GENE,MAPK1,2
GENE,MEK,ACTIVATION,GENE,ERK,1
GENE,MEK,PHOSPHORYLATION,GENE,ERK,3
GENE,MEK1,PHOSPHORYLATION,GENE,ERK1/2,1
GENE,MET,ACTIVATION,GENE,BRAF,1
GENE,MET,ACTIVATION,GENE,KRAS,4
GENE,MET,ACTIVATION,GENE,MAPK1,1
GENE,MET,ACTIVATION,GENE,PI3K,1
GENE,MET,ACTIVATION,GENE,PIK3CA,6
GENE,MET,ACTIVATION,GENE,RAS,1
GENE,MET,ACTIVATION,PATHWAY,MAPK,1
GENE,MET,ACTIVATION,PATHWAY,PI3K/AKT,1
GENE,MET,BINDING_ASSOCIATION,GENE,MET,2
GENE,MET,BINDING_ASSOCIATION,LIGAND,HGF,1
GENE,MET,MUTATION,GENE,MET,1
GENE,MET,MUTATION,PATHWAY,MAPK,1
GENE,MET,MUTATION,PATHWAY,PI3K/AKT,1
GENE,MET,PHOSPHORYLATION,GENE,EGFR,1
GENE,MET,PHOSPHORYLATION,GENE,MET,1
GENE,MET,PHOSPHORYLATION,GENE,PIK3CA,3
GENE,MYC,BINDING_ASSOCIATION,GENE,SMAD4,1
GENE,MYC,BINDING_ASSOCIATION,GENE,TP53,1
GENE,MYC,MUTATION,GENE,MYC,1
GENE,MYC,REPRESSION,GENE,TP53,1
GENE,NF1,INHIBITION,GENE,KRAS,1
GENE,NOTCH1,BINDING_ASSOCIATION,GENE,SMAD4,1
GENE,NOTCH1,MUTATION,GENE,NOTCH1,1
GENE,NOTCH1,REPRESSION,GENE,CTNNB1,1
GENE,NRAS,ACTIVATION,GENE,BRAF,1
GENE,NRAS,ACTIVATION,GENE,PIK3CA,1
GENE,NRAS,ACTIVATION,GENE,RAF,1
GENE,NRAS,MUTATION,GENE,NRAS,2
GENE,NRAS,PHOSPHORYLATION,GENE,BRAF,1
GENE,NRAS,PHOSPHORYLATION,GENE,PIK3CA,1
GENE,NTRK,ACTIVATION,GENE,AKT,1
GENE,NTRK,ACTIVATION,GENE,PI3K,1
GENE,PI3K,ACTIVATION,GENE,AKT,1
GENE,PIK3CA,ACTIVATION,GENE,AKT,1
GENE,PIK3CA,ACTIVATION,GENE,AKT1,2
GENE,PIK3CA,ACTIVATION,PATHWAY,PI3K/AKT,2
GENE,PIK3CA,BINDING_ASSOCIATION,GENE,PIK3CA,3
GENE,PIK3CA,INHIBITION,GENE,PTEN,1
GENE,PIK3CA,MUTATION,GENE,PIK3CA,2
GENE,PIK3CA,MUTATION,PATHWAY,PI3K/AKT,2
GENE,PIK3CA,PHOSPHORYLATION,GENE,AKT,2
GENE,PIK3CA,PHOSPHORYLATION,GENE,PIK3CA,1
GENE,PIK3CA,PHOSPHORYLATION,PROTEIN,AKT,1
GENE,PIP3,STATE_CHANGE,GENE,PIP2,1
GENE,PTEN,DEPHOSPHORYLATION,GENE,KRAS,1
GENE,PTEN,DEPHOSPHORYLATION,GENE,NRAS,1
GENE,PTEN,DEPHOSPHORYLATION,GENE,PIK3CA,2
GENE,PTEN,DEPHOSPHORYLATION,GENE,PIP3,1
GENE,PTEN,EXPRESSION,GENE,TP53,1
GENE,PTEN,INHIBITION,GENE,AKT1,1
GENE,PTEN,INHIBITION,GENE,PI3K,2
GENE,PTEN,INHIBITION,GENE,PIK3CA,1
GENE,PTEN,INHIBITION,PATHWAY,PI3K/AKT,1
GENE,PTEN,MUTATION,GENE,PTEN,1
GENE,RB1,BINDING_ASSOCIATION,GENE,MYC,1
GENE,RB1,MUTATION,GENE,RB1,1
GENE,RB1,REPRESSION,CELL,CELL SURVIVAL AND PROLIFERATION,1
GENE,RET,ACTIVATION,GENE,AKT,1
GENE,RET,ACTIVATION,GENE,KRAS,1
GENE,RET,ACTIVATION,GENE,MAPK,1
GENE,RET,ACTIVATION,GENE,MAPK1,1
GENE,RET,ACTIVATION,GENE,PI3K,2
GENE,RET,ACTIVATION,GENE,PIK3CA,3
GENE,RET,BINDING_ASSOCIATION,GENE,RET,2
GENE,RET,MUTATION,GENE,RET,1
GENE,RET,PHOSPHORYLATION,GENE,PIK3CA,3
GENE,RET,PHOSPHORYLATION,GENE,RET,1
GENE,ROS1,ACTIVATION,GENE,KRAS,3
GENE,ROS1,ACTIVATION,GENE,PI3K,1
GENE,ROS1,ACTIVATION,GENE,PIK3CA,3
GENE,ROS1,ACTIVATION,GENE,RAS,1
GENE,ROS1,ACTIVATION,PATHWAY,MAPK,1
GENE,ROS1,ACTIVATION,PATHWAY,PI3K/AKT,1
GENE,ROS1,BINDING_ASSOCIATION,GENE,ROS1,1
GENE,ROS1,BINDING_ASSOCIATION,PROCESS,FUSION PARTNERS,1
GENE,ROS1,MUTATION,PATHWAY,MAPK,1
GENE,ROS1,MUTATION,PATHWAY,PI3K/AKT,1
GENE,ROS1,PHOSPHORYLATION,GENE,BRAF,1
GENE,ROS1,PHOSPHORYLATION,GENE,PIK3CA,2
GENE,ROS1,PHOSPHORYLATION,GENE,ROS1,1
GENE,SMAD4,BINDING_ASSOCIATION,GENE,MYC,1
GENE,SMAD4,BINDING_ASSOCIATION,GENE,TP53,1
GENE,SMAD4,MUTATION,GENE,SMAD4,1
GENE,STK11,ACTIVATION,GENE,AMPK,2
GENE,TP53,ACETYLATION,GENE,TP53,2
GENE,TP53,ACTIVATION,GENE,CDKN2A,1
GENE,TP53,BINDING_ASSOCIATION,GENE,TP53,1
GENE,TP53,EXPRESSION,GENE,CDKN1A/P21,1
GENE,TP53,EXPRESSION,GENE,PTEN,1
GENE,TP53,INHIBITION,PROCESS,CELL CYCLE PROGRESSION,1
GENE,TP53,METHYLATION,GENE,TP53,2
GENE,TP53,MUTATION,GENE,MDM2,1
GENE,TP53,MUTATION,GENE,TP53,2
GENE,TP53,PHOSPHORYLATION,GENE,TP53,3
GENE,TP53,REPRESSION,CELL,CELL SURVIVAL AND PROLIFERATION,1
GENE,TP53,REPRESSION,GENE,AKT1,1
GENE,TP53,REPRESSION,GENE,BRAF,1
GENE,TP53,REPRESSION,GENE,CDKN2A,1
GENE,TP53,REPRESSION,GENE,EGFR,1
GENE,TP53,REPRESSION,GENE,HER2,1
GENE,TP53,REPRESSION,GENE,KRAS,1
GENE,TP53,REPRESSION,GENE,MYC,1
GENE,TP53,REPRESSION,GENE,PIK3CA,1
GENE,TP53,REPRESSION,PROCESS,APOPTOSIS,1
GENE,TP53,REPRESSION,PROCESS,CELL CYCLE,2
GENE,TP53,UBIQUITINATION,GENE,MDM2,2
GENE,TP53,UBIQUITINATION,GENE,TP53,3
PATHWAY,MAPK,ACTIVATION,PROCESS,APOPTOSIS,1
PATHWAY,MAPK,ACTIVATION,PROCESS,CELL CYCLE,1
PATHWAY,PI3K/AKT,ACTIVATION,PROCESS,CELL CYCLE,1
PATHWAY,PI3K/AKT,INHIBITION,PROCESS,APOPTOSIS,1
PROTEIN,MEK,PHOSPHORYLATION,PROTEIN,ERK,1
