entity,type,link,KEGG_ID,alias,credibilities
Phosphatidylethanolamine,compound,https://www.kegg.jp/dbget-bin/www_bget?cpd:C00350,cpd:C00350,"Phosphatidylethanolamine; (3-Phosphatidyl)ethanolamine; (3-Phosphatidyl)-ethanolamine; Cephalin; O-(1-beta-Acyl-2-acyl-sn-glycero-3-phospho)ethanolamine; 1-Acyl-2-acyl-sn-glycero-3-phosphoethanolamine; L-1-Phosphatidylethanolamine
",7
Starch,compound,https://www.kegg.jp/dbget-bin/www_bget?cpd:C00369,cpd:C00369,"Starch; Glycogen
",11
Retinal,compound,https://www.kegg.jp/dbget-bin/www_bget?cpd:C00376,cpd:C00376,"Retinal; Vitamin A aldehyde; Retinene; all-trans-Retinal; all-trans-Vitamin A aldehyde; all-trans-Retinene
",1
Histamine,compound,https://www.kegg.jp/dbget-bin/www_bget?cpd:C00388,cpd:C00388,"Histamine; 1H-Imidazole-4-ethanamine; 2-(4-Imidazolyl)ethylamine
",6
Tryptamine,compound,https://www.kegg.jp/dbget-bin/www_bget?cpd:C00398,cpd:C00398,Tryptamine; 3-(2-Aminoethyl)indole,6
(-)-Menthol,compound,https://www.kegg.jp/dbget-bin/www_bget?cpd:C00400,cpd:C00400,"(-)-Menthol; L-Menthol
",1
Progesterone,compound,https://www.kegg.jp/dbget-bin/www_bget?cpd:C00410,cpd:C00410,"Progesterone; 4-Pregnene-3,20-dione
",9
Phosphatidate,compound,https://www.kegg.jp/dbget-bin/www_bget?cpd:C00416,cpd:C00416,"Phosphatidate; Phosphatidic acid; 1,2-Diacyl-sn-glycerol 3-phosphate; 3-sn-Phosphatidate
",31
Prostaglandin H2,compound,https://www.kegg.jp/dbget-bin/www_bget?cpd:C00427,cpd:C00427,"Prostaglandin H2; (5Z,13E)-(15S)-9alpha,11alpha-Epidioxy-15-hydroxyprosta-5,13-dienoate; (5Z,13E,15S)-9alpha,11alpha-Epidioxy-15-hydroxyprosta-5,13-dienoate; PGH2; (5Z,9alpha,11alpha,13E,15S)-9,11-Epidioxy-15-hydroxy-prosta-5,13-dienoate
",1
Mannan,compound,https://www.kegg.jp/dbget-bin/www_bget?cpd:C00464,cpd:C00464,"Mannan; Mannoglycan
",4
Ethanol,compound,https://www.kegg.jp/dbget-bin/www_bget?cpd:C00469,cpd:C00469,"Ethanol; Ethyl alcohol; Methylcarbinol
",37
Retinol,compound,https://www.kegg.jp/dbget-bin/www_bget?cpd:C00473,cpd:C00473,"Retinol; all-trans-Retinol; Vitamin A; Vitamin A1
",1
Tyramine,compound,https://www.kegg.jp/dbget-bin/www_bget?cpd:C00483,cpd:C00483,Tyramine; 2-(p-Hydroxyphenyl)ethylamine,6
L-Cysteate,compound,https://www.kegg.jp/dbget-bin/www_bget?cpd:C00506,cpd:C00506,"L-Cysteate; L-Cysteic acid; 3-Sulfoalanine; 2-Amino-3-sulfopropionic acid
",26
Hyaluronate,compound,https://www.kegg.jp/dbget-bin/www_bget?cpd:C00518,cpd:C00518,"Hyaluronate; Hyaluronic acid; Hyaluronan; [beta-N-Acetyl-D-glucosaminyl(1,4)beta-D-glucuronosyl(1,3)]n
",5
Nitric oxide,compound,https://www.kegg.jp/dbget-bin/www_bget?cpd:C00533,cpd:C00533,"Nitric oxide; NO; Nitrogen monoxide
",74
Testosterone,compound,https://www.kegg.jp/dbget-bin/www_bget?cpd:C00535,cpd:C00535,"Testosterone; 17beta-Hydroxy-4-androsten-3-one
",1
L-Noradrenaline,compound,https://www.kegg.jp/dbget-bin/www_bget?cpd:C00547,cpd:C00547,"L-Noradrenaline; Noradrenaline; Norepinephrine; Arterenol; 4-[(1R)-2-Amino-1-hydroxyethyl]-1,2-benzenediol
",92
beta-D-Glucan,compound,https://www.kegg.jp/dbget-bin/www_bget?cpd:C00551,cpd:C00551,"beta-D-Glucan; beta-Glucan
",5
"3',5'-Cyclic AMP",compound,https://www.kegg.jp/dbget-bin/www_bget?cpd:C00575,cpd:C00575,"3',5'-Cyclic AMP; Cyclic adenylic acid; Cyclic AMP; Adenosine 3',5'-phosphate; Adenosine 3',5'-cyclic phosphate; cAMP
",695
Prostaglandin E2,compound,https://www.kegg.jp/dbget-bin/www_bget?cpd:C00584,cpd:C00584,"Prostaglandin E2; (5Z,13E)-(15S)-11alpha,15-Dihydroxy-9-oxoprosta-5,13-dienoate; Dinoprostone; PGE2
",67
Chondroitin sulfate,compound,https://www.kegg.jp/dbget-bin/www_bget?cpd:C00607,cpd:C00607,Chondroitin sulfate,4
Prostaglandin F2alpha,compound,https://www.kegg.jp/dbget-bin/www_bget?cpd:C00639,cpd:C00639,"Prostaglandin F2alpha; (5Z,13E)-(15S)-9alpha,11alpha,15-Trihydroxyprosta-5,13-dienoate; (+)-Prostaglandin F2a; 7-[3,5-Dihydroxy-2-(3-hydroxy-1-octenyl)cyclopentyl]-5-heptenoic acid; 9a,11a-PGF2; Amoglandin; Cyclosin; Dinoprost; Enzaprost; Enzaprost F; Panacelan; PGF2a; 9,11,15-Trihydroxy-(5Z,9a,11a,13E,15S)-prosta-5,13-dien-1-oic acid; Prostaglandin F2a; Prostin F 2 alpha; Protamodin; U 14583; (5Z,9alpha,11alpha,13E,15S)-9,11,15-Trihydroxyprosta-5,13-dienoate
",23
"beta-D-Fructose 2,6-bisphosphate",compound,https://www.kegg.jp/dbget-bin/www_bget?cpd:C00665,cpd:C00665,"beta-D-Fructose 2,6-bisphosphate; D-Fructose 2,6-bisphosphate
",10
1-Acyl-sn-glycerol 3-phosphate,compound,https://www.kegg.jp/dbget-bin/www_bget?cpd:C00681,cpd:C00681,"1-Acyl-sn-glycerol 3-phosphate; 2-Lysophosphatidate; Lysophosphatidate; Lysophosphatidic acid
",45
Cholic acid,compound,https://www.kegg.jp/dbget-bin/www_bget?cpd:C00695,cpd:C00695,"Cholic acid; Cholate; 3alpha,7alpha,12alpha-Trihydroxy-5beta-cholanate; 3alpha,7alpha,12alpha-Trihydroxy-5beta-cholanic acid",2
Prostaglandin D2,compound,https://www.kegg.jp/dbget-bin/www_bget?cpd:C00696,cpd:C00696,"Prostaglandin D2; (5Z,13E)-(15S)-9alpha,15-Dihydroxy-11-oxoprosta-5,13-dienoate; (5Z,13E,15S)-9alpha,15-Dihydroxy-11-oxoprosta-5,13-dienoate; PGD2
",1
Cl-,compound,https://www.kegg.jp/dbget-bin/www_bget?cpd:C00698,cpd:C00698,"Cl-; Chloride; Chloride ion
",8
Superoxide,compound,https://www.kegg.jp/dbget-bin/www_bget?cpd:C00704,cpd:C00704,"Superoxide; O2.-; Superoxide anion; O2-
",61
Cortisol,compound,https://www.kegg.jp/dbget-bin/www_bget?cpd:C00735,cpd:C00735,"Cortisol; Hydrocortisone; 11beta,17alpha,21-Trihydroxy-4-pregnene-3,20-dione; Kendall's compound F; Reichstein's substance M
",4
Nicotine,compound,https://www.kegg.jp/dbget-bin/www_bget?cpd:C00745,cpd:C00745,"Nicotine; (S)-3-(1-Methylpyrrolidin-2-yl)pyridine; (S)-Nicotine
",32
Cortisone,compound,https://www.kegg.jp/dbget-bin/www_bget?cpd:C00762,cpd:C00762,"Cortisone; 17alpha,21-Dihydroxy-4-pregnene-3,11,20-trione; Kendall's compound E; Reichstein's substance Fa
",2
Serotonin,compound,https://www.kegg.jp/dbget-bin/www_bget?cpd:C00780,cpd:C00780,"Serotonin; 3-(2-Aminoethyl)-1H-indol-5-ol; 5-Hydroxytryptamine; Enteramine
",101
L-Adrenaline,compound,https://www.kegg.jp/dbget-bin/www_bget?cpd:C00788,cpd:C00788,"L-Adrenaline; (R)-(-)-Adrenaline; (R)-(-)-Epinephrine; (R)-(-)-Epirenamine; (R)-(-)-Adnephrine; 4-[(1R)-1-Hydroxy-2-(methylamino)ethyl]-1,2-benzenediol
",68
(+)-Camphor,compound,https://www.kegg.jp/dbget-bin/www_bget?cpd:C00808,cpd:C00808,(+)-Camphor; d-Camphor,1
(-)-Camphor,compound,https://www.kegg.jp/dbget-bin/www_bget?cpd:C00809,cpd:C00809,"(-)-Camphor; (-)-Bornan-2-one
",1
Angiotensin I,compound,https://www.kegg.jp/dbget-bin/www_bget?cpd:C00873,cpd:C00873,"Angiotensin I
",4
Cinnamaldehyde,compound,https://www.kegg.jp/dbget-bin/www_bget?cpd:C00903,cpd:C00903,"Cinnamaldehyde
",1
Heparan sulfate,compound,https://www.kegg.jp/dbget-bin/www_bget?cpd:C00925,cpd:C00925,Heparan sulfate; Heparitin sulfate; Heparin sulfate; Heparin monosulfate,30
"3',5'-Cyclic GMP",compound,https://www.kegg.jp/dbget-bin/www_bget?cpd:C00942,cpd:C00942,"3',5'-Cyclic GMP; Guanosine 3',5'-cyclic monophosphate; Guanosine 3',5'-cyclic phosphate; Cyclic GMP; cGMP
",64
Estradiol-17beta,compound,https://www.kegg.jp/dbget-bin/www_bget?cpd:C00951,cpd:C00951,"Estradiol-17beta; Estradiol; beta-Estradiol
",39
"1,3-beta-D-Glucan",compound,https://www.kegg.jp/dbget-bin/www_bget?cpd:C00965,cpd:C00965,"1,3-beta-D-Glucan; 1,3-beta-Glucan; (1,3-beta-D-Glucosyl)n; (1,3-beta-D-Glucosyl)n+1; (1,3-beta-D-Glucosyl)n-1
",1
6-Deoxy-L-galactose,compound,https://www.kegg.jp/dbget-bin/www_bget?cpd:C01019,cpd:C01019,"6-Deoxy-L-galactose; L-Fucose
",2
"3,5-Diiodo-L-tyrosine",compound,https://www.kegg.jp/dbget-bin/www_bget?cpd:C01060,cpd:C01060,"3,5-Diiodo-L-tyrosine; 3,5-Diiodotyrosine; L-Diiodotyrosine
",3
N-Acetylgalactosamine,compound,https://www.kegg.jp/dbget-bin/www_bget?cpd:C01074,cpd:C01074,"N-Acetylgalactosamine; N-Acetylchondrosamine; 2-Acetamido-2-deoxygalactose; GalNAc
",2
(R)-3-Hydroxybutanoate,compound,https://www.kegg.jp/dbget-bin/www_bget?cpd:C01089,cpd:C01089,"(R)-3-Hydroxybutanoate; (R)-3-Hydroxybutanoic acid; (R)-3-Hydroxybutyric acid; D-beta-Hydroxybutyric acid
",25
Sphinganine 1-phosphate,compound,https://www.kegg.jp/dbget-bin/www_bget?cpd:C01120,cpd:C01120,"Sphinganine 1-phosphate; Dihydrosphingosine 1-phosphate
",5
1-Phosphatidyl-D-myo-inositol,compound,https://www.kegg.jp/dbget-bin/www_bget?cpd:C01194,cpd:C01194,"1-Phosphatidyl-D-myo-inositol; 1-Phosphatidyl-1D-myo-inositol; 1-Phosphatidyl-myo-inositol; Phosphatidyl-1D-myo-inositol; (3-Phosphatidyl)-1-D-inositol; 1,2-Diacyl-sn-glycero-3-phosphoinositol; Phosphatidylinositol
",5
Dehydroepiandrosterone,compound,https://www.kegg.jp/dbget-bin/www_bget?cpd:C01227,cpd:C01227,Dehydroepiandrosterone; 3beta-Hydroxyandrost-5-en-17-one; Dehydroisoandrosterone; DHA; DHEA,1
"D-myo-Inositol 1,4,5-trisphosphate",compound,https://www.kegg.jp/dbget-bin/www_bget?cpd:C01245,cpd:C01245,"D-myo-Inositol 1,4,5-trisphosphate; 1D-myo-Inositol 1,4,5-trisphosphate; Inositol 1,4,5-trisphosphate; Ins(1,4,5)P3
",373
Prostaglandin I2,compound,https://www.kegg.jp/dbget-bin/www_bget?cpd:C01312,cpd:C01312,"Prostaglandin I2; (5Z,13E)-(15S)-6,9alpha-Epoxy-11alpha,15-dihydroxyprosta-5,13-dienoate; Prostacyclin; PGI2; Epoprostenol
",23
Hg,compound,https://www.kegg.jp/dbget-bin/www_bget?cpd:C01319,cpd:C01319,"Hg; Mercury; Elemental mercury
",1
Hydrochloric acid,compound,https://www.kegg.jp/dbget-bin/www_bget?cpd:C01327,cpd:C01327,"Hydrochloric acid; HCl; Hydrogen chloride; Hydrochloride
",3
Sodium cation,compound,https://www.kegg.jp/dbget-bin/www_bget?cpd:C01330,cpd:C01330,Sodium cation; Na+; Sodium(1+); Sodium ion,11
Cadmium,compound,https://www.kegg.jp/dbget-bin/www_bget?cpd:C01413,cpd:C01413,"Cadmium
",13
Acrolein,compound,https://www.kegg.jp/dbget-bin/www_bget?cpd:C01471,cpd:C01471,"Acrolein; Acrylaldehyde; Acrylic aldehyde; Propenal
",2
Morphine,compound,https://www.kegg.jp/dbget-bin/www_bget?cpd:C01516,cpd:C01516,"Morphine
",4
Melatonin,compound,https://www.kegg.jp/dbget-bin/www_bget?cpd:C01598,cpd:C01598,"Melatonin; N-Acetyl-5-methoxytryptamine
",3
Calcitriol,compound,https://www.kegg.jp/dbget-bin/www_bget?cpd:C01673,cpd:C01673,"Calcitriol; 1alpha,25-Dihydroxyvitamin D3; (1S,3R,5Z,7E)-9,10-Seco-5,7,10(19)-cholestatriene-1,3,25-triol
",4
Aldosterone,compound,https://www.kegg.jp/dbget-bin/www_bget?cpd:C01780,cpd:C01780,"Aldosterone; 11beta,21-Dihydroxy-3,20-dioxo-4-pregnen-18-al
",1
Thyroxine,compound,https://www.kegg.jp/dbget-bin/www_bget?cpd:C01829,cpd:C01829,"Thyroxine; Levothyroxin; L-Thyroxine; O-(4-Hydroxy-3,5-diidophenyl)-3,5-diiodo-L-tyrosine; 3,5,3'5'-Tetraiodo-L-thyronine; T4
",5
Glycocholate,compound,https://www.kegg.jp/dbget-bin/www_bget?cpd:C01921,cpd:C01921,"Glycocholate; Glycocholic acid; 3alpha,7alpha,12alpha-Trihydroxy-5beta-cholan-24-oylglycine",2
Acetylcholine,compound,https://www.kegg.jp/dbget-bin/www_bget?cpd:C01996,cpd:C01996,"Acetylcholine; O-Acetylcholine
",87
11-cis-Retinal,compound,https://www.kegg.jp/dbget-bin/www_bget?cpd:C02110,cpd:C02110,"11-cis-Retinal; 11-cis-Vitamin A aldehyde; 11-cis-Retinene
",1
Angiotensin II,compound,https://www.kegg.jp/dbget-bin/www_bget?cpd:C02135,cpd:C02135,"Angiotensin II; Angiotensin; Angiotonin; Hypertensin
",9
Corticosterone,compound,https://www.kegg.jp/dbget-bin/www_bget?cpd:C02140,cpd:C02140,"Corticosterone; 11beta,21-Dihydroxy-4-pregnene-3,20-dione; Kendall's compound B; Reichstein's substance H
",2
Leukotriene B4,compound,https://www.kegg.jp/dbget-bin/www_bget?cpd:C02165,cpd:C02165,"Leukotriene B4; (6Z,8E,10E,14Z)-(5S,12R)-5,12-Dihydroxyeicosa-6,8,10,14-tetraenoate; (6Z,8E,10E,14Z)-(5S,12R)-5,12-Dihydroxyicosa-6,8,10,14-tetraenoate; LTB4",5
Leukotriene C4,compound,https://www.kegg.jp/dbget-bin/www_bget?cpd:C02166,cpd:C02166,Leukotriene C4; LTC4,2
Thromboxane A2,compound,https://www.kegg.jp/dbget-bin/www_bget?cpd:C02198,cpd:C02198,"Thromboxane A2; (5Z,13E)-(15S)-9alpha,11alpha-Epoxy-15-hydroxythromboxa-5,13-dienoate; (5Z,9alpha,11alpha,13E,15S)-9,11-Epoxy-15-hydroxythromboxa-5,13-dien-1-oic acid; TXA2
",3
Triiodothyronine,compound,https://www.kegg.jp/dbget-bin/www_bget?cpd:C02465,cpd:C02465,"Triiodothyronine; 3,3',5-Triiodo-L-thyronine; L-3,5,3'-Triiodothyronine; 3,5,3'-Triiodothyronine; Liothyronine; 3,5,3'-Triiodo-L-thyronine; T3",24
3-Iodo-L-tyrosine,compound,https://www.kegg.jp/dbget-bin/www_bget?cpd:C02515,cpd:C02515,"3-Iodo-L-tyrosine
",3
Chenodeoxycholate,compound,https://www.kegg.jp/dbget-bin/www_bget?cpd:C02528,cpd:C02528,"Chenodeoxycholate; Chenodeoxycholic acid; 3alpha,7alpha-Dihydroxy-5beta-cholanic acid; Chenodiol",2
Resveratrol,compound,https://www.kegg.jp/dbget-bin/www_bget?cpd:C03582,cpd:C03582,"Resveratrol; 3,4',5-Trihydroxystilbene; trans-Resveratrol
",2
Bis(2-ethylhexyl)phthalate,compound,https://www.kegg.jp/dbget-bin/www_bget?cpd:C03690,cpd:C03690,"Bis(2-ethylhexyl)phthalate; Di(2-ethylhexyl)phthalate; Dioctyl phthalate; DEHP
",1
Dopamine,compound,https://www.kegg.jp/dbget-bin/www_bget?cpd:C03758,cpd:C03758,"Dopamine; 4-(2-Aminoethyl)-1,2-benzenediol; 4-(2-Aminoethyl)benzene-1,2-diol; 3,4-Dihydroxyphenethylamine; 2-(3,4-Dihydroxyphenyl)ethylamine
",71
Dihydrotestosterone,compound,https://www.kegg.jp/dbget-bin/www_bget?cpd:C03917,cpd:C03917,"Dihydrotestosterone; 17beta-Hydroxyandrostan-3-one; Androstanolone; 17beta-Hydroxy-5alpha-androstan-3-one
",1
Lithocholic acid,compound,https://www.kegg.jp/dbget-bin/www_bget?cpd:C03990,cpd:C03990,"Lithocholic acid; Lithocholate; 3alpha-Hydroxy-5beta-cholanate; 3alpha-Hydroxy-5beta-cholanic acid
",2
Octopamine,compound,https://www.kegg.jp/dbget-bin/www_bget?cpd:C04227,cpd:C04227,"Octopamine; 1-(4-Hydroxyphenyl)-2-aminoethanol; p-Hydroxyphenylethanolamine
",6
Deoxycholic acid,compound,https://www.kegg.jp/dbget-bin/www_bget?cpd:C04483,cpd:C04483,"Deoxycholic acid; Deoxycholate; 3alpha,12alpha-Dihydroxy-5beta-cholanate; 3alpha,12alpha-Dihydroxy-5beta-cholanic acid",2
1-Phosphatidyl-1D-myo-inositol 3-phosphate,compound,https://www.kegg.jp/dbget-bin/www_bget?cpd:C04549,cpd:C04549,"1-Phosphatidyl-1D-myo-inositol 3-phosphate; 1,2-Diacyl-sn-glycero-3-phospho-(1'-myo-inositol-3'-phosphate)
",25
