gene,kegg_id,alia
20-HETE,cpd:C14748,"(5Z,8Z,11Z,14Z)-20-Hydroxyicosa-5,8,11,14-tetraenoic acid"
20-HETE,cpd:C14748,20-Hydroxyeicosatetraenoic acid
20-HETE,cpd:C14748,20-Hydroxyicosatetraenoic acid
20-HETE,cpd:C14748,20-Hydroxy arachidonic acid
"14,15-EET",cpd:C14771,"(5Z,8Z,11Z)-14,15-Epoxyeicosa-5.8.11-trienoic acid"
"11,12-EET",cpd:C14770,"(5Z,8Z,14Z)-11,12-Epoxyeicosa-5,8,14-trienoic acid"
"8,9-EET",cpd:C14769,"(5Z,11Z,14Z)-8,9-Epoxyeicosa-5,11,14-trienoic acid"
"5,6-EET",cpd:C14768,"(8Z,11Z,14Z)-5,6-Epoxyeicosa-8,11,14-trienoic acid"
Prostaglandin H2,cpd:C00427,"(5Z,13E)-(15S)-9alpha,11alpha-Epidioxy-15-hydroxyprosta-5,13-dienoate"
Prostaglandin H2,cpd:C00427,"(5Z,13E,15S)-9alpha,11alpha-Epidioxy-15-hydroxyprosta-5,13-dienoate"
Prostaglandin H2,cpd:C00427,PGH2
Hyaluronate,cpd:C00518,Hyaluronic acid
Hyaluronate,cpd:C00518,Hyaluronan
Angiotensin IV,cpd:C15849,Angiotensin II
Angiotensin IV,cpd:C15849,1-des-asn-2-arg
"1,3-beta-D-Glucan",cpd:C00965,"1,3-beta-Glucan"
"1,3-beta-D-Glucan",cpd:C00965,"(1,3-beta-D-Glucosyl)n"
"1,3-beta-D-Glucan",cpd:C00965,"(1,3-beta-D-Glucosyl)n+1"
Trehalose dimycolate,cpd:C21790,"Trehalose-6,6'-dimycolate"
Trehalose dimycolate,cpd:C21790,TDM
Trehalose dimycolate,cpd:C21790,Cord factor
12(S)-HPETE,cpd:C05965,"(5Z,8Z,10E,14Z)-(12S)-12-Hydroperoxyicosa-5,8,10,14-tetraenoic acid"
12(S)-HPETE,cpd:C05965,"(5Z,8Z,10E,14Z)-(12S)-12-Hydroperoxyicosa-5,8,10,14-tetraenoate"
12(S)-HPETE,cpd:C05965,12-Hydroperoxyeicosatetraenoate
12(S)-HPETE,cpd:C05965,12-Hydroperoxyicosatetraenoate
12(S)-HPETE,cpd:C05965,12-Hydroperoxyeicosatetraenoic acid
12(S)-HPETE,cpd:C05965,12-Hydroperoxyicosatetraenoic acid
"(5Z,7E,9E,14Z,17Z)-Icosapentaenoate",cpd:C12083,"(5Z,7E,9E,14Z,17Z)-Eicosapentaenoic acid"
"(5Z,7E,9E,14Z,17Z)-Icosapentaenoate",cpd:C12083,"(5Z,7E,9E,14Z,17Z)-Eicosapentaenoate"
"(5Z,7E,9E,14Z,17Z)-Icosapentaenoate",cpd:C12083,"5Z,7E,9E,14Z,17Z-Eicosapentaenoic acid"
15(S)-HPETE,cpd:C05966,"(5Z,8Z,11Z,13E)-(15S)-15-Hydroperoxyicosa-5,8,11,13-tetraenoic acid"
15(S)-HPETE,cpd:C05966,15-Hydroperoxyeicosatetraenoate
15(S)-HPETE,cpd:C05966,15-Hydroperoxyicosatetraenoate
15(S)-HPETE,cpd:C05966,15-Hydroperoxyeicosatetraenoic acid
15(S)-HPETE,cpd:C05966,15-Hydroperoxyicosatetraenoic acid
5(S)-HETE,cpd:C04805,5-Hydroxyeicosatetraenoate
5(S)-HETE,cpd:C04805,5-HETE
"(15S)-15-Hydroxy-5,8,11-cis-13-trans-eicosatetraenoate",cpd:C04742,"(15S)-15-Hydroxy-5,8,11-cis-13-trans-icosatetraenoate"
"(15S)-15-Hydroxy-5,8,11-cis-13-trans-eicosatetraenoate",cpd:C04742,"(5Z,8Z,11Z,13E)-(15S)-15-Hydroxyicosa-5,8,11,13-tetraenoic acid"
"(15S)-15-Hydroxy-5,8,11-cis-13-trans-eicosatetraenoate",cpd:C04742,15(S)-HETE
"1,8-Cineole",cpd:C09844,"1,8-Cineol"
"1,8-Cineole",cpd:C09844,Eucalyptol
"3,5-Diiodo-L-tyrosine",cpd:C01060,"3,5-Diiodotyrosine"
"3,5-Diiodo-L-tyrosine",cpd:C01060,L-Diiodotyrosine
Corticosterone,cpd:C02140,"11beta,21-Dihydroxy-4-pregnene-3,20-dione"
Corticosterone,cpd:C02140,Kendall's compound B
Corticosterone,cpd:C02140,Reichstein's substance H
Calcitriol,cpd:C01673,"1alpha,25-Dihydroxyvitamin D3"
Cholic acid,cpd:C00695,Cholate
Cholic acid,cpd:C00695,"3alpha,7alpha,12alpha-Trihydroxy-5beta-cholanate"
Chenodeoxycholate,cpd:C02528,Chenodeoxycholic acid
Chenodeoxycholate,cpd:C02528,"3alpha,7alpha-Dihydroxy-5beta-cholanic acid"
Chenodeoxycholate,cpd:C02528,Chenodiol
Glycocholate,cpd:C01921,Glycocholic acid
Deoxycholic acid,cpd:C04483,Deoxycholate
Deoxycholic acid,cpd:C04483,"3alpha,12alpha-Dihydroxy-5beta-cholanate"
Androstenedione,cpd:C00280,"Androst-4-ene-3,17-dione"
Cortisone,cpd:C00762,"17alpha,21-Dihydroxy-4-pregnene-3,11,20-trione"
Cortisone,cpd:C00762,Kendall's compound E
Cortisone,cpd:C00762,Reichstein's substance Fa
"2,3,7,8-Tetrachlorodibenzodioxin",cpd:C07557,Tetrachlorodibenzodioxin
"2,3,7,8-Tetrachlorodibenzodioxin",cpd:C07557,"2,3,7,8-Tetrachlorodibenzo-p-dioxin"
"2,3,7,8-Tetrachlorodibenzodioxin",cpd:C07557,TCDD
"2,3,7,8-Tetrachlorodibenzodioxin",cpd:C07557,PCDD 48
"3,3',4,4',5-Pentachlorobiphenyl",cpd:C14573,PCB 126
DDT,cpd:C04623,"1,1,1-Trichloro-2,2-bis(4-chlorophenyl)ethane"
DDT,cpd:C04623,"1,1,1-Trichloro-2,2-bis-(4'-chlorophenyl)ethane"
DDT,cpd:C04623,Clofenotane
DDT,cpd:C04623,Dichlorodiphenyltrichloroethane
"2-Amino-1-methyl-6-phenylimidazo[4,5-b]pyridine",cpd:C16038,PhIP
