gene,kegg_id,alia
PGAM2,hsa:5224,GSD10
PGAM2,hsa:5224,PGAM-M
PGAM2,hsa:5224,PGAMM
PGAM2,hsa:5224,phosphoglycerate mutase 2
BPGM,hsa:669,DPGM
BPGM,hsa:669,ECYT8
BPGM,hsa:669,bisphosphoglycerate mutase
ENO1,hsa:2023,ENO1L1
ENO1,hsa:2023,HEL-S-17
ENO1,hsa:2023,MPB1
ENO1,hsa:2023,NNE
ENO1,hsa:2023,PPH
ENO1,hsa:2023,enolase 1
ENO2,hsa:2026,HEL-S-279
ENO2,hsa:2026,NSE
ENO2,hsa:2026,enolase 2
ENO3,hsa:2027,GSD13
ENO3,hsa:2027,MSE
ENO3,hsa:2027,enolase 3
ENO4,hsa:387712,C10orf134
ENO4,hsa:387712,enolase 4
PDHA1,hsa:5160,PDHA
PDHA1,hsa:5160,PDHAD
PDHA1,hsa:5160,PDHCE1A
PDHA1,hsa:5160,PHE1A
PDHA1,hsa:5160,pyruvate dehydrogenase E1 subunit alpha 1
DLAT,hsa:1737,DLTA
DLAT,hsa:1737,E2
DLAT,hsa:1737,PBC
DLAT,hsa:1737,PDC-E2
DLAT,hsa:1737,PDCE2
DLAT,hsa:1737,dihydrolipoamide S-acetyltransferase
PDHA2,hsa:5161,PDHAL
PDHA2,hsa:5161,pyruvate dehydrogenase E1 subunit alpha 2
PDHB,hsa:5162,PDHBD
PDHB,hsa:5162,PDHE1-B
PDHB,hsa:5162,PDHE1B
PDHB,hsa:5162,PHE1B
PDHB,hsa:5162,pyruvate dehydrogenase E1 subunit beta
ALDH2,hsa:217,ALDH-E2
ALDH2,hsa:217,ALDHI
ALDH2,hsa:217,ALDM
ALDH2,hsa:217,aldehyde dehydrogenase 2 family member
ADH1A,hsa:124,ADH1
ADH1A,hsa:124,alcohol dehydrogenase 1A (class I)
ADH1A,hsa:124,alpha polypeptide
ALDH1B1,hsa:219,ALDH5
ALDH1B1,hsa:219,ALDHX
ALDH1B1,hsa:219,aldehyde dehydrogenase 1 family member B1
ALDH9A1,hsa:223,ALDH4
ALDH9A1,hsa:223,ALDH7
ALDH9A1,hsa:223,ALDH9
ALDH9A1,hsa:223,E3
ALDH9A1,hsa:223,TMABA-DH
ALDH9A1,hsa:223,TMABADH
ALDH9A1,hsa:223,TMABALDH
ALDH9A1,hsa:223,aldehyde dehydrogenase 9 family member A1
ALDH3A2,hsa:224,ALDH10
ALDH3A2,hsa:224,FALDH
ALDH3A2,hsa:224,SLS
ALDH3A2,hsa:224,aldehyde dehydrogenase 3 family member A2
ALDH7A1,hsa:501,ATQ1
ALDH7A1,hsa:501,EPD
ALDH7A1,hsa:501,PDE
ALDH7A1,hsa:501,aldehyde dehydrogenase 7 family member A1
ALDH3A1,hsa:218,ALDH3
ALDH3A1,hsa:218,ALDHIII
ALDH3A1,hsa:218,aldehyde dehydrogenase 3 family member A1
ALDH3B1,hsa:221,ALDH4
ALDH3B1,hsa:221,ALDH7
ALDH3B1,hsa:221,aldehyde dehydrogenase 3 family member B1
ALDH3B2,hsa:222,ALDH8
ALDH3B2,hsa:222,aldehyde dehydrogenase 3 family member B2
PKLR,hsa:5313,PK1
PKLR,hsa:5313,PKL
PKLR,hsa:5313,PKRL
PKLR,hsa:5313,RPK
PKLR,hsa:5313,pyruvate kinase L/R
PKM,hsa:5315,CTHBP
PKM,hsa:5315,HEL-S-30
PKM,hsa:5315,OIP3
PKM,hsa:5315,PK3
PKM,hsa:5315,PKM2
PKM,hsa:5315,TCB
PKM,hsa:5315,THBP1
PKM,hsa:5315,p58
PKM,hsa:5315,pyruvate kinase M1/2
LDHAL6A,hsa:160287,LDH6A
LDHAL6A,hsa:160287,lactate dehydrogenase A like 6A
LDHA,hsa:3939,GSD11
LDHA,hsa:3939,HEL-S-133P
LDHA,hsa:3939,LDHM
LDHA,hsa:3939,PIG19
LDHA,hsa:3939,lactate dehydrogenase A
LDHB,hsa:3945,HEL-S-281
LDHB,hsa:3945,LDH-B
LDHB,hsa:3945,LDH-H
LDHB,hsa:3945,LDHBD
LDHB,hsa:3945,TRG-5
LDHB,hsa:3945,lactate dehydrogenase B
LDHC,hsa:3948,CT32
LDHC,hsa:3948,LDH3
LDHC,hsa:3948,LDHX
LDHC,hsa:3948,lactate dehydrogenase C
LDHAL6B,hsa:92483,LDH6B
LDHAL6B,hsa:92483,LDHAL6
LDHAL6B,hsa:92483,LDHL
LDHAL6B,hsa:92483,lactate dehydrogenase A like 6B
G6PC2,hsa:57818,IGRP
G6PC2,hsa:57818,glucose-6-phosphatase catalytic subunit 2
G6PC3,hsa:92579,SCN4
G6PC3,hsa:92579,UGRP
G6PC3,hsa:92579,glucose-6-phosphatase catalytic subunit 3
PGK2,hsa:5232,HEL-S-272
PGK2,hsa:5232,PGKB
PGK2,hsa:5232,PGKPS
PGK2,hsa:5232,dJ417L20.2
PGK2,hsa:5232,phosphoglycerate kinase 2
PCK1,hsa:5105,PCKDC
PCK1,hsa:5105,PEPCK-C
PCK1,hsa:5105,PEPCK1
PCK1,hsa:5105,PEPCKC
PCK1,hsa:5105,phosphoenolpyruvate carboxykinase 1
PCK2,hsa:5106,PEPCK
PCK2,hsa:5106,PEPCK-M
PCK2,hsa:5106,PEPCK2
PCK2,hsa:5106,phosphoenolpyruvate carboxykinase 2
PCK2,hsa:5106,mitochondrial
ACSS2,hsa:55902,ACAS2
ACSS2,hsa:55902,ACECS
ACSS2,hsa:55902,ACS
ACSS2,hsa:55902,ACSA
ACSS2,hsa:55902,AceCS1
ACSS2,hsa:55902,dJ1161H23.1
ACSS2,hsa:55902,acyl-CoA synthetase short chain family member 2
ACSS1,hsa:84532,ACAS2L
ACSS1,hsa:84532,ACECS1
ACSS1,hsa:84532,AceCS2L
ACSS1,hsa:84532,acyl-CoA synthetase short chain family member 1
ADPGK,hsa:83440,2610017G09Rik
ADPGK,hsa:83440,ADP-GK
ADPGK,hsa:83440,ADP dependent glucokinase
MINPP1,hsa:9562,HIPER1
MINPP1,hsa:9562,MINPP2
MINPP1,hsa:9562,MIPP
MINPP1,hsa:9562,PCH16
MINPP1,hsa:9562,multiple inositol-polyphosphate phosphatase 1
PC,hsa:5091,PCB
PC,hsa:5091,pyruvate carboxylase
Valine,path:hsa00280,leucine and isoleucine degradation - Homo sapiens (human)
ACLY,hsa:47,ACL
ACLY,hsa:47,ATPCL
ACLY,hsa:47,CLATP
ACLY,hsa:47,ATP citrate lyase
Alanine,path:hsa00250,aspartate and glutamate metabolism - Homo sapiens (human)
MDH1,hsa:4190,DEE88
MDH1,hsa:4190,EIEE88
MDH1,hsa:4190,HEL-S-32
MDH1,hsa:4190,KAR
MDH1,hsa:4190,MDH-s
MDH2,hsa:4191,DEE51
MDH2,hsa:4191,EIEE51
MDH2,hsa:4191,M-MDH
FH,hsa:2271,FMRD
FH,hsa:2271,HLRCC
FH,hsa:2271,HsFH
FH,hsa:2271,LRCC
FH,hsa:2271,MCL
FH,hsa:2271,MCUL1
FH,hsa:2271,fumarate hydratase
SDHA,hsa:6389,CMD1GG
SDHA,hsa:6389,FP
SDHA,hsa:6389,MC2DN1
SDHA,hsa:6389,NDAXOA
SDHA,hsa:6389,PGL5
SDHA,hsa:6389,SDH1
SDHA,hsa:6389,SDH2
SDHA,hsa:6389,SDHF
SDHA,hsa:6389,succinate dehydrogenase complex flavoprotein subunit A
SDHB,hsa:6390,CWS2
SDHB,hsa:6390,IP
SDHB,hsa:6390,MC2DN4
SDHB,hsa:6390,PGL4
SDHB,hsa:6390,SDH
SDHB,hsa:6390,SDH1
SDHB,hsa:6390,SDH2
SDHB,hsa:6390,SDHIP
SDHB,hsa:6390,succinate dehydrogenase complex iron sulfur subunit B
SDHC,hsa:6391,CYB560
SDHC,hsa:6391,CYBL
SDHC,hsa:6391,PGL3
SDHC,hsa:6391,QPS1
SDHC,hsa:6391,SDH3
SDHC,hsa:6391,succinate dehydrogenase complex subunit C
SDHD,hsa:6392,CBT1
SDHD,hsa:6392,CII-4
SDHD,hsa:6392,CWS3
SDHD,hsa:6392,MC2DN3
SDHD,hsa:6392,PGL
SDHD,hsa:6392,PGL1
SDHD,hsa:6392,QPs3
SDHD,hsa:6392,SDH4
SDHD,hsa:6392,cybS
SDHD,hsa:6392,succinate dehydrogenase complex subunit D
SUCLG2,hsa:8801,G-SCS
SUCLG2,hsa:8801,GBETA
SUCLG2,hsa:8801,GTPSCS
SUCLG2,hsa:8801,succinate-CoA ligase GDP-forming subunit beta
SUCLG1,hsa:8802,GALPHA
SUCLG1,hsa:8802,MTDPS9
SUCLG1,hsa:8802,SUCLA1
SUCLG1,hsa:8802,succinate-CoA ligase GDP/ADP-forming subunit alpha
SUCLA2,hsa:8803,A-BETA
SUCLA2,hsa:8803,A-SCS
SUCLA2,hsa:8803,LINC00444
SUCLA2,hsa:8803,MTDPS5
SUCLA2,hsa:8803,SCS-betaA
SUCLA2,hsa:8803,succinate-CoA ligase ADP-forming subunit beta
DLST,hsa:1743,DLTS
DLST,hsa:1743,KGD2
DLST,hsa:1743,PGL7
DLST,hsa:1743,dihydrolipoamide S-succinyltransferase
OGDH,hsa:4967,AKGDH
OGDH,hsa:4967,E1k
OGDH,hsa:4967,KGD1
OGDH,hsa:4967,OGDC
OGDH,hsa:4967,OGDH2
OGDH,hsa:4967,OGDHD
OGDH,hsa:4967,oxoglutarate dehydrogenase
DLD,hsa:1738,DLDD
DLD,hsa:1738,DLDH
DLD,hsa:1738,E3
DLD,hsa:1738,GCSL
DLD,hsa:1738,LAD
DLD,hsa:1738,OGDC-E3
DLD,hsa:1738,PHE3
DLD,hsa:1738,dihydrolipoamide dehydrogenase
OGDHL,hsa:55753,YOBELN
OGDHL,hsa:55753,oxoglutarate dehydrogenase L
IDH3A,hsa:3419,RP90
IDH3A,hsa:3419,isocitrate dehydrogenase (NAD(+)) 3 catalytic subunit alpha
IDH3B,hsa:3420,RP46
IDH3B,hsa:3420,isocitrate dehydrogenase (NAD(+)) 3 non-catalytic subunit beta
IDH3G,hsa:3421,H-IDHG
IDH3G,hsa:3421,isocitrate dehydrogenase (NAD(+)) 3 non-catalytic subunit gamma
IDH1,hsa:3417,HEL-216
IDH1,hsa:3417,HEL-S-26
IDH1,hsa:3417,IDCD
IDH1,hsa:3417,IDH
IDH1,hsa:3417,IDP
IDH1,hsa:3417,IDPC
IDH1,hsa:3417,PICD
IDH1,hsa:3417,isocitrate dehydrogenase (NADP(+)) 1
IDH2,hsa:3418,D2HGA2
IDH2,hsa:3418,ICD-M
IDH2,hsa:3418,IDH
IDH2,hsa:3418,IDH-2
IDH2,hsa:3418,IDHM
IDH2,hsa:3418,IDP
IDH2,hsa:3418,IDPM
IDH2,hsa:3418,mNADP-IDH
IDH2,hsa:3418,isocitrate dehydrogenase (NADP(+)) 2
ACO1,hsa:48,ACONS
ACO1,hsa:48,HEL60
ACO1,hsa:48,IREB1
ACO1,hsa:48,IREBP
ACO1,hsa:48,IREBP1
ACO1,hsa:48,IRP1
ACO1,hsa:48,aconitase 1
ACO2,hsa:50,ACONM
ACO2,hsa:50,HEL-S-284
ACO2,hsa:50,ICRD
ACO2,hsa:50,OCA8
ACO2,hsa:50,OPA9
ACO2,hsa:50,aconitase 2
IDNK,hsa:414328,C9orf103
IDNK,hsa:414328,bA522I20.2
IDNK,hsa:414328,hGntK
IDNK,hsa:414328,IDNK gluconokinase
RGN,hsa:9104,GNL
RGN,hsa:9104,HEL-S-41
RGN,hsa:9104,RC
RGN,hsa:9104,SMP30
RGN,hsa:9104,regucalcin
PGD,hsa:5226,6PGD
PGD,hsa:5226,phosphogluconate dehydrogenase
PGLS,hsa:25796,6PGL
PGLS,hsa:25796,HEL-S-304
PGLS,hsa:25796,6-phosphogluconolactonase
RPE,hsa:6120,RPE2-1
RPE,hsa:6120,ribulose-5-phosphate-3-epimerase
RPIA,hsa:22934,RPI
RPIA,hsa:22934,RPIAD
RPIA,hsa:22934,ribose 5-phosphate isomerase A
TKT,hsa:7086,HEL-S-48
TKT,hsa:7086,HEL107
TKT,hsa:7086,SDDHD
TKT,hsa:7086,TK
TKT,hsa:7086,TKT1
TKT,hsa:7086,transketolase
TKTL1,hsa:8277,TKR
TKTL1,hsa:8277,TKT2
TKTL1,hsa:8277,transketolase like 1
RBKS,hsa:64080,RBSK
RBKS,hsa:64080,RK
RBKS,hsa:64080,ribokinase
PRPS1L1,hsa:221823,PRPS1
PRPS1L1,hsa:221823,PRPS3
PRPS1L1,hsa:221823,PRPSL
PRPS1L1,hsa:221823,PRS-III
PRPS1L1,hsa:221823,phosphoribosyl pyrophosphate synthetase 1 like 1
PRPS1,hsa:5631,ARTS
PRPS1,hsa:5631,CMTX5
PRPS1,hsa:5631,DFN2
PRPS1,hsa:5631,DFNX1
PRPS1,hsa:5631,PPRibP
PRPS1,hsa:5631,PRS-I
PRPS1,hsa:5631,PRSI
PRPS1,hsa:5631,phosphoribosyl pyrophosphate synthetase 1
PRPS2,hsa:5634,PRSII
PRPS2,hsa:5634,phosphoribosyl pyrophosphate synthetase 2
TALDO1,hsa:6888,TAL
TALDO1,hsa:6888,TAL-H
TALDO1,hsa:6888,TALDOR
TALDO1,hsa:6888,TALH
TALDO1,hsa:6888,transaldolase 1
DERA,hsa:51071,CGI-26
DERA,hsa:51071,DEOC
DERA,hsa:51071,deoxyribose-phosphate aldolase
GLYCTK,hsa:132158,HBEBP2
GLYCTK,hsa:132158,HBEBP4
GLYCTK,hsa:132158,HBeAgBP4A
GLYCTK,hsa:132158,glycerate kinase
H6PD,hsa:9563,CORTRD1
H6PD,hsa:9563,G6PDH
H6PD,hsa:9563,GDH
H6PD,hsa:9563,H6PDH
H6PD,hsa:9563,hexose-6-phosphate dehydrogenase/glucose 1-dehydrogenase
G6PD,hsa:2539,G6PD1
G6PD,hsa:2539,glucose-6-phosphate dehydrogenase
GUSB,hsa:2990,BG
GUSB,hsa:2990,MPS7
GUSB,hsa:2990,glucuronidase beta
KL,hsa:9365,HFTC3
KL,hsa:9365,KLA
KL,hsa:9365,klotho
UGDH,hsa:7358,DEE84
UGDH,hsa:7358,EIEE84
UGDH,hsa:7358,GDH
UGDH,hsa:7358,UDP-GlcDH
UGDH,hsa:7358,UDPGDH
UGDH,hsa:7358,UGD
UGDH,hsa:7358,UDP-glucose 6-dehydrogenase
UGT2A1,hsa:10941,UDPGT2A1
UGT2A1,hsa:10941,UDP glucuronosyltransferase family 2 member A1 complex locus
UGT1A10,hsa:54575,GNT1
UGT1A10,hsa:54575,UDPGT
UGT1A10,hsa:54575,UGT-1A
UGT1A10,hsa:54575,UGT-1J
UGT1A10,hsa:54575,UGT1
UGT1A10,hsa:54575,UGT1-01
UGT1A10,hsa:54575,UGT1-10
UGT1A10,hsa:54575,UGT1.1
UGT1A10,hsa:54575,UGT1.10
UGT1A10,hsa:54575,UGT1A
UGT1A10,hsa:54575,UGT1A1
UGT1A10,hsa:54575,UGT1J
UGT1A10,hsa:54575,hUG-BR1
UGT1A10,hsa:54575,UDP glucuronosyltransferase family 1 member A10
UGT1A8,hsa:54576,GNT1
UGT1A8,hsa:54576,UDPGT
UGT1A8,hsa:54576,UDPGT_1-1
UGT1A8,hsa:54576,UDPGT_1-8
UGT1A8,hsa:54576,UGT-1A
UGT1A8,hsa:54576,UGT-1H
UGT1A8,hsa:54576,UGT1
UGT1A8,hsa:54576,UGT1-01
UGT1A8,hsa:54576,UGT1-08
UGT1A8,hsa:54576,UGT1.1
UGT1A8,hsa:54576,UGT1.8
UGT1A8,hsa:54576,UGT1A
UGT1A8,hsa:54576,UGT1A1
UGT1A8,hsa:54576,UGT1A8S
UGT1A8,hsa:54576,UGT1H
UGT1A8,hsa:54576,hUG-BR1
UGT1A8,hsa:54576,UDP glucuronosyltransferase family 1 member A8
UGT1A7,hsa:54577,GNT1
UGT1A7,hsa:54577,UDPGT
UGT1A7,hsa:54577,UDPGT_1-7
UGT1A7,hsa:54577,UGT-1A
UGT1A7,hsa:54577,UGT-1G
UGT1A7,hsa:54577,UGT1
UGT1A7,hsa:54577,UGT1-01
UGT1A7,hsa:54577,UGT1-07
UGT1A7,hsa:54577,UGT1.1
UGT1A7,hsa:54577,UGT1.7
UGT1A7,hsa:54577,UGT1A
UGT1A7,hsa:54577,UGT1A1
UGT1A7,hsa:54577,UGT1G
UGT1A7,hsa:54577,hUG-BR1
UGT1A7,hsa:54577,UDP glucuronosyltransferase family 1 member A7
UGT1A6,hsa:54578,GNT1
UGT1A6,hsa:54578,HLUGP
UGT1A6,hsa:54578,HLUGP1
UGT1A6,hsa:54578,UDPGT
UGT1A6,hsa:54578,UDPGT_1-6
UGT1A6,hsa:54578,UGT-1A
UGT1A6,hsa:54578,UGT-1C
UGT1A6,hsa:54578,UGT-1E
UGT1A6,hsa:54578,UGT-1F
UGT1A6,hsa:54578,UGT1
UGT1A6,hsa:54578,UGT1-01
UGT1A6,hsa:54578,UGT1-03
UGT1A6,hsa:54578,UGT1-05
UGT1A6,hsa:54578,UGT1-06
UGT1A6,hsa:54578,UGT1.1
UGT1A6,hsa:54578,UGT1.3
UGT1A6,hsa:54578,UGT1.5
UGT1A6,hsa:54578,UGT1.6
UGT1A6,hsa:54578,UGT1A
UGT1A6,hsa:54578,UGT1A1
UGT1A6,hsa:54578,UGT1A3
UGT1A6,hsa:54578,UGT1A5
UGT1A6,hsa:54578,UGT1A6S
UGT1A6,hsa:54578,"UGT1C,~"
UGT1A6,hsa:54578,UDP glucuronosyltransferase family 1 member A6
UGT1A5,hsa:54579,UDPGT
UGT1A5,hsa:54579,UDPGT_1-5
UGT1A5,hsa:54579,UGT1E
UGT1A5,hsa:54579,UDP glucuronosyltransferase family 1 member A5
UGT1A9,hsa:54600,HLUGP4
UGT1A9,hsa:54600,LUGP4
UGT1A9,hsa:54600,UDPGT
UGT1A9,hsa:54600,UDPGT_1-9
UGT1A9,hsa:54600,UGT-1I
UGT1A9,hsa:54600,UGT1-09
UGT1A9,hsa:54600,UGT1-9
UGT1A9,hsa:54600,UGT1.9
UGT1A9,hsa:54600,UGT1A9S
UGT1A9,hsa:54600,UGT1AI
UGT1A9,hsa:54600,UGT1I
UGT1A9,hsa:54600,UDP glucuronosyltransferase family 1 member A9
UGT1A4,hsa:54657,GNT1
UGT1A4,hsa:54657,HUG-BR2
UGT1A4,hsa:54657,UDPGT
UGT1A4,hsa:54657,UDPGT_1-4
UGT1A4,hsa:54657,UGT-1A
UGT1A4,hsa:54657,UGT-1D
UGT1A4,hsa:54657,UGT1
UGT1A4,hsa:54657,UGT1-01
UGT1A4,hsa:54657,UGT1-04
UGT1A4,hsa:54657,UGT1.1
UGT1A4,hsa:54657,UGT1.4
UGT1A4,hsa:54657,UGT1A
UGT1A4,hsa:54657,UGT1A1
UGT1A4,hsa:54657,UGT1A4S
UGT1A4,hsa:54657,UGT1D
UGT1A4,hsa:54657,hUG-BR1
UGT1A4,hsa:54657,UDP glucuronosyltransferase family 1 member A4
UGT1A1,hsa:54658,BILIQTL1
UGT1A1,hsa:54658,GNT1
UGT1A1,hsa:54658,HUG-BR1
UGT1A1,hsa:54658,UDPGT
UGT1A1,hsa:54658,UDPGT_1-1
UGT1A1,hsa:54658,UGT1
UGT1A1,hsa:54658,UGT1A
UGT1A1,hsa:54658,UDP glucuronosyltransferase family 1 member A1
UGT1A3,hsa:54659,UDPGT
UGT1A3,hsa:54659,UDPGT_1-3
UGT1A3,hsa:54659,UGT-1C
UGT1A3,hsa:54659,UGT1-03
UGT1A3,hsa:54659,UGT1.3
UGT1A3,hsa:54659,UGT1A3S
UGT1A3,hsa:54659,UGT1C
UGT1A3,hsa:54659,UDP glucuronosyltransferase family 1 member A3
UGT2A2,hsa:574537,UDPGT_2A2
UGT2A2,hsa:574537,UDP glucuronosyltransferase family 2 member A2
UGT2B4,hsa:7363,HLUG25
UGT2B4,hsa:7363,UDPGT2B4
UGT2B4,hsa:7363,UDPGTH1
UGT2B4,hsa:7363,UDPGTh-1
UGT2B4,hsa:7363,UGT2B11
UGT2B4,hsa:7363,UDP glucuronosyltransferase family 2 member B4
UGT2B7,hsa:7364,UDPGT_2B7
UGT2B7,hsa:7364,UDPGT_2B9
UGT2B7,hsa:7364,UDPGT2B7
UGT2B7,hsa:7364,UDPGTH2
UGT2B7,hsa:7364,UDPGTh-2
UGT2B7,hsa:7364,UGT2B9
UGT2B7,hsa:7364,UDP glucuronosyltransferase family 2 member B7
UGT2B10,hsa:7365,UDPGT2B10
UGT2B10,hsa:7365,UDP glucuronosyltransferase family 2 member B10
UGT2B15,hsa:7366,HLUG4
UGT2B15,hsa:7366,UDPGT_2B8
UGT2B15,hsa:7366,UDPGT2B15
UGT2B15,hsa:7366,UDPGTH3
UGT2B15,hsa:7366,UGT2B8
UGT2B15,hsa:7366,UDP glucuronosyltransferase family 2 member B15
UGT2B17,hsa:7367,BMND12
UGT2B17,hsa:7367,UDPGT2B17
UGT2B17,hsa:7367,UDP glucuronosyltransferase family 2 member B17
UGP2,hsa:7360,DEE83
UGP2,hsa:7360,EIEE83
UGP2,hsa:7360,SVUGP2
UGP2,hsa:7360,UDPG
UGP2,hsa:7360,UDPGP
UGP2,hsa:7360,UDPGP2
UGP2,hsa:7360,UGP1
UGP2,hsa:7360,UGPP1
UGP2,hsa:7360,UGPP2
UGP2,hsa:7360,pHC379
UGP2,hsa:7360,UDP-glucose pyrophosphorylase 2
DCXR,hsa:51181,DCR
DCXR,hsa:51181,HCR2
DCXR,hsa:51181,HCRII
DCXR,hsa:51181,KIDCR
DCXR,hsa:51181,P34H
DCXR,hsa:51181,PNTSU
DCXR,hsa:51181,SDR20C1
DCXR,hsa:51181,XR
DCXR,hsa:51181,dicarbonyl and L-xylulose reductase
AKR1B1,hsa:231,ADR
AKR1B1,hsa:231,ALDR1
AKR1B1,hsa:231,ALR2
AKR1B1,hsa:231,AR
AKR1B1,hsa:231,aldo-keto reductase family 1 member B
AKR1B10,hsa:57016,AKR1B11
AKR1B10,hsa:57016,AKR1B12
AKR1B10,hsa:57016,ALDRLn
AKR1B10,hsa:57016,ARL-1
AKR1B10,hsa:57016,ARL1
AKR1B10,hsa:57016,HIS
AKR1B10,hsa:57016,HSI
AKR1B10,hsa:57016,aldo-keto reductase family 1 member B10
CRYL1,hsa:51084,GDH
CRYL1,hsa:51084,HEL30
CRYL1,hsa:51084,gul3DH
CRYL1,hsa:51084,lambda-CRY
CRYL1,hsa:51084,crystallin lambda 1
DHDH,hsa:27294,2DD
DHDH,hsa:27294,HUM2DD
DHDH,hsa:27294,dihydrodiol dehydrogenase
AKR1A1,hsa:10327,ALDR1
AKR1A1,hsa:10327,ALR
AKR1A1,hsa:10327,ARM
AKR1A1,hsa:10327,DD3
AKR1A1,hsa:10327,HEL-S-6
AKR1A1,hsa:10327,aldo-keto reductase family 1 member A1
SORD,hsa:6652,HEL-S-95n
SORD,hsa:6652,RDH
SORD,hsa:6652,SDH
SORD,hsa:6652,SORD1
SORD,hsa:6652,SORDD
SORD,hsa:6652,XDH
SORD,hsa:6652,sorbitol dehydrogenase
KHK,hsa:3795,FRUCTU
KHK,hsa:3795,ketohexokinase
PFKFB1,hsa:5207,F6PK
PFKFB1,hsa:5207,HL2K
