starter,starter_KEGG_ID,starter_in,starter_out,starter_total,receiver,receiver_KEGG_ID,receiver_in,receiver_out,receiver_total,relation,PMID,Img,GPT_answer,KEGG_matched
PP5,hsa:5536,0,1,1,AMPK,hsa:5563,4,7,11,inhibit,29191605,29191605_page3_31.jpg,Yes,No
TSC1,hsa:7248,4,4,8,AKT,hsa:207,65,58,123,inhibit,29650275,29650275_page1_14.jpg,Yes,No
MIR34A,hsa:407040,2,3,5,AXL,hsa:558,6,0,6,inhibit,30419315,30419315_page26_117.jpg,Yes,No
GAS6,hsa:2621,0,2,2,AXL,hsa:558,6,0,6,inhibit,30419315,30419315_page29_147.jpg,Yes,No
GAS6,hsa:2621,0,2,2,AXL,hsa:558,6,0,6,inhibit,30419315,30419315_page29_147.jpg,Yes,No
Bcl-2,hsa:596,2,2,4,CCND1,hsa:595,1,0,1,inhibit,30551551,30551551_page12_252.jpg,Yes,No
FAK,hsa:5747,6,4,10,MIR-21,hsa:406991,3,2,5,inhibit,30982492,30982492_page3_44.jpg,Yes,No
BCL2,hsa:596,2,3,5,p53,hsa:7157,6,12,18,inhibit,31002952,31002952_page10_228.jpg,Yes,No
AKT,hsa:207,65,58,123,PIK3CA,hsa:5290,1,0,1,inhibit,31002952,31002952_page10_228.jpg,Yes,No
BIM,hsa:10018,7,1,8,AKT,hsa:207,65,58,123,inhibit,31002952,31002952_page10_228.jpg,Yes,No
CTLA-4,hsa:1493,2,1,3,PD-1,hsa:5133,5,2,7,inhibit,31209840,31209840_page22_304.jpg,Yes,No
Bcl-2,hsa:596,2,2,4,BID,hsa:637,2,1,3,inhibit,31215445,31215445_page11_218.jpg,Yes,No
PARP1,hsa:142,0,2,2,MTOR,hsa:2475,50,25,75,inhibit,31228648,31228648_page20_234.jpg,Yes,No
PARP1,hsa:142,0,2,2,NF-KB,None,13,6,19,inhibit,31228648,31228648_page20_234.jpg,Yes,gene not mapped
MEK,hsa:5609,62,44,106,Raf,None,37,40,77,inhibit,31256210,31256210_page2_52.jpg,Yes,gene not mapped
SRC,hsa:6714,3,5,8,E2,hsa:1737,2,0,2,inhibit,31361169,31361169_page2_60.jpg,Yes,No
SHP2,hsa:5781,0,6,6,PI3K,hsa:5290,53,57,110,inhibit,31387181,31387181_page1_27.jpg,Yes,No
YAP,hsa:55249,10,9,19,ERK,hsa:5594,47,29,76,inhibit,31387256,31387256_page10_565.jpg,Yes,No
YAP,hsa:55249,10,9,19,TEAD,None,2,5,7,inhibit,31387256,31387256_page10_565.jpg,Yes,gene not mapped
JAK,None,7,20,27,EGFR,hsa:1956,10,13,23,inhibit,31387256,31387256_page2_203.jpg,Yes,gene not mapped
AND,None,3,7,10,PD-L1,hsa:29126,6,6,12,inhibit,31387256,31387256_page5_313.jpg,Yes,gene not mapped
YAP,hsa:55249,10,9,19,MAPK,None,13,15,28,inhibit,31387256,31387256_page7_419.jpg,Yes,gene not mapped
MAPK,None,13,15,28,YAP,hsa:55249,10,9,19,inhibit,31387256,31387256_page7_419.jpg,Yes,gene not mapped
FAS,hsa:355,2,2,4,survivin,hsa:332,1,0,1,inhibit,31391058,31391058_page6_108.jpg,Yes,No
ROCK1,hsa:6093,1,1,2,PTEN,hsa:5728,12,22,34,inhibit,31485605,31485605_page9_37.jpg,Yes,No
PTEN,hsa:5728,12,22,34,ROCK1,hsa:6093,1,1,2,inhibit,31485605,31485605_page9_37.jpg,Yes,No
TCF,hsa:3172,0,2,2,CBP,hsa:1387,2,0,2,inhibit,31545260,31545260_page1_22.jpg,Yes,No
SFRP,None,1,3,4,WNT,None,2,0,2,inhibit,31545260,31545260_page5_142.jpg,Yes,gene not mapped
DKK,None,1,2,3,WNT,None,2,0,2,inhibit,31545260,31545260_page5_142.jpg,Yes,gene not mapped
EMT,hsa:3702,10,7,17,EY-CADHERIN,hsa:1016,1,0,1,inhibit,31630262,31630262_page10_207.jpg,Yes,No
CDK2,hsa:1017,2,5,7,p21,hsa:1026,4,4,8,inhibit,31630262,31630262_page8_165.jpg,Yes,No
E2F7,hsa:144455,0,1,1,p21,hsa:1026,4,4,8,inhibit,31630262,31630262_page8_165.jpg,Yes,No
IRT-1,hsa:199,0,1,1,NF-KB,None,13,6,19,inhibit,31795742,31795742_page10_271.jpg,Yes,gene not mapped
VEGF-A,hsa:7422,2,2,4,VEGFR2,hsa:3791,3,2,5,inhibit,31942592,31942592_page2_72.jpg,Yes,No
PI3K,hsa:5290,53,57,110,HIRS-1,hsa:3667,1,0,1,inhibit,32062493,32062493_page14_36.jpg,Yes,No
PTEN,hsa:5728,12,22,34,XIAP,hsa:331,2,1,3,inhibit,32307773,32307773_page13_120.jpg,Yes,No
PD-1,hsa:5133,5,2,7,PD-L1,hsa:29126,6,6,12,inhibit,32327177,32327177_page1_19.jpg,Yes,No
CRAF,hsa:5894,1,2,3,MEK,hsa:5609,62,44,106,inhibit,32505631,32505631_page27_166.jpg,Yes,No
MDM2,hsa:4193,1,3,4,PTEN,hsa:5728,12,22,34,inhibit,32615820,32615820_page64_320.jpg,Yes,No
TSC2,hsa:7249,2,4,6,CYLD,hsa:1540,1,2,3,inhibit,32703503,32703503_page18_257.jpg,Yes,No
EP300,hsa:2033,0,1,1,AKT,hsa:207,65,58,123,inhibit,32703503,32703503_page18_257.jpg,Yes,No
BCL2,hsa:596,2,3,5,MYC,hsa:4609,4,2,6,inhibit,32703503,32703503_page18_257.jpg,Yes,No
JAK2,hsa:3717,2,6,8,STAT,hsa:6646,20,7,27,inhibit,32703503,32703503_page18_257.jpg,Yes,No
SUFU,hsa:51684,0,2,2,SHH,hsa:6469,1,0,1,inhibit,32750701,32750701_page2_58.jpg,Yes,No
AXIN,hsa:8312,0,1,1,NOTCH,None,3,3,6,inhibit,32750701,32750701_page4_64.jpg,Yes,gene not mapped
STAT3,hsa:6774,22,23,45,HIF-1,hsa:29072,4,4,8,inhibit,32836072,32836072_page4_219.jpg,Yes,No
JAK,None,7,20,27,MEK,hsa:5609,62,44,106,inhibit,33807876,33807876_page16_151.jpg,Yes,gene not mapped
CDK4,hsa:1019,9,2,11,MTOR,hsa:2475,50,25,75,inhibit,33807876,33807876_page16_151.jpg,Yes,No
MTOR,hsa:2475,50,25,75,CDK4,hsa:1019,9,2,11,inhibit,33807876,33807876_page16_151.jpg,Yes,No
PI3K,hsa:5290,53,57,110,STAT,hsa:6646,20,7,27,inhibit,33905667,33905667_page3_399.jpg,Yes,No
