starter,starter_KEGG_ID,starter_in,starter_out,starter_total,receiver,receiver_KEGG_ID,receiver_in,receiver_out,receiver_total,relation,PMID,Img,GPT_answer,KEGG_matched
ABHD11-AS1,None,1,1,2,EZH2,hsa:2146,1,0,1,inhibit,32892348,32892348_page8_168.jpg,No,gene not mapped
FATS,hsa:118611,1,1,2,ODC,hsa:4953,2,1,3,inhibit,33037185,33037185_page15_295.jpg,No,No
MIR103A,None,0,1,1,OTUB1,hsa:55611,1,1,2,inhibit,33174524,33174524_page9_13.jpg,No,gene not mapped
EGLN1,hsa:54583,0,1,1,CAN,hsa:8021,1,0,1,inhibit,33445709,33445709_page3_142.jpg,No,No
CREB1,hsa:1385,0,1,1,KDR,hsa:3791,2,0,2,inhibit,33445709,33445709_page3_142.jpg,No,No
HI,hsa:6833,4,1,5,CAR,hsa:1525,1,4,5,inhibit,33675143,33675143_page17_309.jpg,No,No
CYLD,hsa:1540,1,2,3,SUB,None,1,0,1,inhibit,33990540,33990540_page10_261.jpg,No,gene not mapped
MIR93,hsa:407050,0,3,3,SRSF2,hsa:6427,5,2,7,inhibit,34299277,34299277_page20_251.jpg,No,No
MIR152,hsa:406943,0,3,3,HOXA5,hsa:3202,2,0,2,inhibit,34299277,34299277_page20_251.jpg,No,No
MI,hsa:4286,0,2,2,ESR1,hsa:2099,3,1,4,inhibit,34299277,34299277_page21_280.jpg,No,No
MIR212,hsa:406994,0,1,1,MAT2A,hsa:4144,3,0,3,inhibit,34299277,34299277_page23_321.jpg,No,No
MIR98,hsa:407054,1,1,2,MIR98,hsa:407054,1,1,2,inhibit,34299277,34299277_page23_322.jpg,No,No
MIR373,hsa:442918,0,2,2,PRKACB,hsa:5567,2,1,3,inhibit,34299277,34299277_page23_322.jpg,No,No
MEF2C,hsa:4208,0,3,3,MIR133B,hsa:442890,4,2,6,inhibit,34299277,34299277_page23_322.jpg,No,No
